origin_country,destination_country,total_migrants
Chile,Slovenia,38.0
Chile,Spain,58784.0
Chile,Sweden,27635.0
Chile,Switzerland,7075.9610204696655
Chile,Turkey,154.0
Chile,United States,105277.0
China,Australia,670737.0
China,Bulgaria,1446.0
China,Canada,1021350.0
China,Colombia,1511.0
China,Czech Republic,4674.0
China,Denmark,13480.0
China,Estonia,505.0
China,France,110613.22046875954
China,Greece,5602.0
China,Hungary,14457.0
China,Italy,223699.0
China,Japan,589881.0
China,LUX,4502.0
China,Latvia,333.0
China,Lithuania,129.0
China,New Zealand,136125.0
China,Norway,12678.0
China,Poland,3946.0
China,Portugal,15336.0
China,Slovakia,1839.0
China,Slovenia,1170.0
China,South Korea,706753.0
China,Spain,179618.0
China,Sweden,33255.0
China,Switzerland,20830.783877418493
China,Turkey,21175.0
China,United States,2400687.0
Colombia,Australia,34281.0
Colombia,Bulgaria,66.0
Colombia,Canada,92445.0
Colombia,Colombia,33070015.0
Colombia,Czech Republic,454.0
Colombia,Denmark,3335.0
Colombia,Estonia,97.0
Colombia,France,35852.73185658455
Colombia,Greece,491.0
Colombia,Hungary,422.0
Colombia,Italy,39235.0
Colombia,LUX,652.0
Colombia,Latvia,17.0
Colombia,Lithuania,28.0
Colombia,Mexico,33150.0
Colombia,New Zealand,2286.0
Colombia,Norway,5799.0
Colombia,Poland,471.0
Colombia,Portugal,1904.0
Colombia,Slovakia,61.0
Colombia,Slovenia,63.0
Colombia,Spain,502440.0
Colombia,Sweden,12310.0
Colombia,Switzerland,15351.078941345215
Colombia,Turkey,833.0
Colombia,United States,835735.0
Croatia,Australia,43116.0
Croatia,Bulgaria,103.0
Croatia,Canada,37360.0
Croatia,Colombia,57.0
Croatia,Czech Republic,2081.0
Croatia,Denmark,2251.0
Croatia,Estonia,66.0
Croatia,France,8549.274705648424
Croatia,Greece,436.0
Croatia,Hungary,2683.0
Croatia,Italy,22727.0
Croatia,LUX,955.0
Croatia,Latvia,17.0
Croatia,New Zealand,1668.0
Croatia,Norway,4990.0
Croatia,Poland,565.0
Croatia,Portugal,183.0
Croatia,Slovakia,856.0
Croatia,Slovenia,42818.0
Croatia,Spain,2259.0
Croatia,Sweden,11295.0
Croatia,Switzerland,17751.72510910034
Croatia,Turkey,293.0
Croatia,United States,40304.0
Cuba,Australia,818.0
Cuba,Bulgaria,387.0
Cuba,Canada,20165.0
Cuba,Colombia,2266.0
Cuba,Czech Republic,762.0
Cuba,Denmark,511.0
Cuba,Estonia,40.0
Cuba,France,6315.544421911239
Cuba,Greece,436.0
Cuba,Hungary,565.0
Cuba,Italy,36173.0
Cuba,LUX,206.0
Cuba,Latvia,46.0
Cuba,Lithuania,8.0
Cuba,Mexico,24617.0
Cuba,New Zealand,30.0
Cuba,Norway,1091.0
Cuba,Poland,370.0
Cuba,Portugal,1477.0
Cuba,Slovakia,135.0
Cuba,Slovenia,86.0
Cuba,Spain,159955.0
Cuba,Sweden,2930.0
Cuba,Switzerland,3592.7640132904053
Cuba,Turkey,490.0
Cuba,United States,1298502.0
Czech Republic,Australia,7592.0
Czech Republic,Bulgaria,1081.0
Czech Republic,Canada,20305.0
Czech Republic,Colombia,70.0
Czech Republic,Czech Republic,8182910.0
Czech Republic,Denmark,1728.0
Czech Republic,Estonia,199.0
Czech Republic,France,8627.339073181152
Czech Republic,Greece,4240.0
Czech Republic,Hungary,2271.0
Czech Republic,Italy,8756.0
Czech Republic,LUX,959.0
Czech Republic,Latvia,133.0
Czech Republic,Lithuania,42.0
Czech Republic,New Zealand,2247.0
Czech Republic,Norway,2156.0
Czech Republic,Poland,5065.0
Czech Republic,Portugal,370.0
Czech Republic,Slovakia,96403.0
Czech Republic,Slovenia,375.0
Czech Republic,Spain,6960.0
Czech Republic,Sweden,1970.0
Czech Republic,Switzerland,14771.60997390747
Czech Republic,Turkey,494.0
Czech Republic,United States,29999.0
Côte d'Ivoire,Australia,562.0
Côte d'Ivoire,Bulgaria,12.0
Côte d'Ivoire,Canada,18545.0
Côte d'Ivoire,Colombia,8.0
Côte d'Ivoire,Czech Republic,92.0
Côte d'Ivoire,Denmark,423.0
