destination_country,origin_country,gender,age,number
Australia,Malaysia,Female,65+,16400.0
Australia,Malaysia,Male,15-24,8760.0
Australia,Malaysia,Male,25-64,51661.0
Australia,Malaysia,Male,65+,12819.0
Australia,Mexico,Female,15-24,218.0
Australia,Mexico,Female,25-64,3083.0
Australia,Mexico,Female,65+,189.0
Australia,Mexico,Male,15-24,242.0
Australia,Mexico,Male,25-64,2635.0
Australia,Mexico,Male,65+,88.0
Australia,Myanmar,Female,15-24,2122.0
Australia,Myanmar,Female,25-64,14067.0
Australia,Myanmar,Female,65+,2886.0
Australia,Myanmar,Male,15-24,2254.0
Australia,Myanmar,Male,25-64,14263.0
Australia,Myanmar,Male,65+,2424.0
Australia,Nigeria,Female,15-24,491.0
Australia,Nigeria,Female,25-64,4183.0
Australia,Nigeria,Female,65+,140.0
Australia,Nigeria,Male,15-24,515.0
Australia,Nigeria,Male,25-64,6102.0
Australia,Nigeria,Male,65+,173.0
Australia,Nicaragua,Female,15-24,13.0
Australia,Nicaragua,Female,25-64,335.0
Australia,Nicaragua,Female,65+,106.0
Australia,Nicaragua,Male,15-24,4.0
Australia,Nicaragua,Male,25-64,262.0
Australia,Nicaragua,Male,65+,58.0
Australia,Nepal,Female,15-24,13910.0
Australia,Nepal,Female,25-64,40418.0
Australia,Nepal,Female,65+,399.0
Australia,Nepal,Male,15-24,17095.0
Australia,Nepal,Male,25-64,47488.0
Australia,Nepal,Male,65+,391.0
Australia,Netherlands,Female,15-24,838.0
Australia,Netherlands,Female,25-64,10332.0
Australia,Netherlands,Female,65+,21550.0
Australia,Netherlands,Male,15-24,815.0
Australia,Netherlands,Male,25-64,10212.0
Australia,Netherlands,Male,65+,21605.0
Australia,New Zealand,Female,15-24,26275.0
Australia,New Zealand,Female,25-64,176375.0
Australia,New Zealand,Female,65+,43673.0
Australia,New Zealand,Male,15-24,27252.0
Australia,New Zealand,Male,25-64,178697.0
Australia,New Zealand,Male,65+,43547.0
Australia,Other,Female,15-24,22636.0
Australia,Other,Female,25-64,150051.0
Australia,Other,Female,65+,57789.0
Australia,Other,Male,15-24,22108.0
Australia,Other,Male,25-64,142629.0
Australia,Other,Male,65+,52077.0
Australia,Peru,Female,15-24,321.0
Australia,Peru,Female,25-64,4892.0
Australia,Peru,Female,65+,1326.0
Australia,Peru,Male,15-24,316.0
Australia,Peru,Male,25-64,3696.0
Australia,Peru,Male,65+,713.0
Australia,Puerto Rico,Female,15-24,8.0
