city,latitude,longitude,country,population
El Monte,34.0739,-118.0291,United States,108682
Idaho Falls,43.4871,-112.0362,United States,108544
Dearborn,42.3127,-83.213,United States,108414
Bloomington,39.1637,-86.5257,United States,108387
West Covina,34.0555,-117.9113,United States,108173
Sparks,39.5736,-119.7161,United States,108025
South Fulton,33.6273,-84.58,United States,107865
Centennial,39.5926,-104.8673,United States,107702
Sandy Springs,33.9366,-84.3703,United States,107221
Edison,40.536,-74.3697,United States,107018
Inglewood,33.9566,-118.3444,United States,106806
Hillsboro,45.5273,-122.936,United States,106612
Columbia,39.2004,-76.859,United States,106600
Burbank,34.1879,-118.3235,United States,106389
Davie,26.0789,-80.287,United States,105821
El Cajon,32.8017,-116.9604,United States,105721
Jurupa Valley,34.001,-117.4706,United States,105672
Allen,33.1088,-96.6735,United States,105444
Auburn,32.6087,-85.4903,United States,105386
Renton,47.4784,-122.1918,United States,105355
Holland,42.7677,-86.0984,United States,105134
Brockton,42.0821,-71.0242,United States,104713
Rio Rancho,35.2873,-106.6982,United States,104351
San Mateo,37.5522,-122.3121,United States,104165
Rialto,34.1175,-117.3892,United States,103873
Spokane Valley,47.6626,-117.2346,United States,103761
Charlottesville,38.0375,-78.4855,United States,103760
Menifee,33.6909,-117.1849,United States,103680
Daly City,37.6862,-122.4685,United States,103648
Woodbridge,40.5611,-74.2943,United States,103400
Wichita Falls,33.9072,-98.5291,United States,102482
Riverview,27.8227,-82.3023,United States,102467
Norwalk,33.9069,-118.0829,United States,101893
Lee's Summit,38.9171,-94.3816,United States,101728
Longmont,40.1686,-105.1005,United States,101642
Vacaville,38.3587,-121.9673,United States,101631
Highlands Ranch,39.5419,-104.9708,United States,101514
Kingsport,36.5224,-82.5454,United States,101323
San Tan Valley,33.1786,-111.5629,United States,101207
Quincy,42.2506,-71.0187,United States,100981
Edinburg,26.3196,-98.1597,United States,100964
Lynn,42.4781,-70.9664,United States,100653
San Angelo,31.4424,-100.4504,United States,100057
Hesperia,34.3975,-117.3147,United States,99878
Bowling Green,36.9716,-86.4378,United States,99669
Federal Way,47.3091,-122.3358,United States,99614
Carmel,39.965,-86.146,United States,99453
Bismarck,46.8143,-100.7694,United States,99433
Fishers,39.9588,-85.9659,United States,99041
Lafayette,39.9946,-105.0998,United States,98889
Vista,33.1896,-117.2386,United States,98392
Boca Raton,26.3752,-80.108,United States,97980
St. Augustine,29.8976,-81.31,United States,97703
Beaverton,45.4779,-122.8168,United States,97554
Goodyear,33.2614,-112.3622,United States,97542
Portsmouth,36.8468,-76.354,United States,97384
Orem,40.2981,-111.6994,United States,97100
Sunrise,26.1547,-80.2997,United States,96510
Greece,43.246,-77.6988,United States,96284
Portsmouth,43.058,-70.7826,United States,96146
Arden-Arcade,38.6017,-121.3845,United States,96076
Lawrence,38.9597,-95.2642,United States,96061
Toms River,39.9895,-74.1654,United States,95997
Sandy,40.5709,-111.8506,United States,95635
Slidell,30.2887,-89.7828,United States,95528
Buckeye,33.4314,-112.6429,United States,95042
Livonia,42.3972,-83.3733,United States,94928
Williamsburg,37.2693,-76.7076,United States,94892
Suffolk,36.6953,-76.6398,United States,94856
Compton,33.893,-118.2274,United States,94822
La Crosse,43.8241,-91.2268,United States,94627
Edmond,35.6689,-97.416,United States,94503
Carson,33.8374,-118.2559,United States,94475
San Marcos,33.135,-117.1743,United States,94360
Greenburgh,41.033,-73.8412,United States,94259
Tracy,37.7269,-121.4523,United States,94027
Prescott Valley,34.598,-112.3185,United States,93923
Middletown,39.5033,-84.3659,United States,93870
Fall River,41.7136,-71.1015,United States,93638
Santa Fe,35.6619,-105.9819,United States,93165
Plantation,26.1259,-80.2617,United States,93130
New Braunfels,29.6994,-98.1148,United States,92993
Roswell,34.0391,-84.3513,United States,92770
Conroe,30.3238,-95.4824,United States,92475
South Gate,33.9447,-118.1926,United States,92381
Santa Monica,34.0235,-118.481,United States,92168
Kirkland,47.697,-122.2057,United States,92015
Hoover,33.3763,-86.8068,United States,91995
O'Fallon,38.785,-90.7175,United States,91825
Hamilton,40.2046,-74.6765,United States,91819
Alafaya,28.528,-81.1868,United States,91531
Palm Coast,29.5389,-81.2457,United States,91082
Norwalk,41.1144,-73.4215,United States,91050
Lawton,34.6175,-98.4202,United States,91023
Chino,33.9836,-117.6654,United States,91008
Mount Pleasant,32.8537,-79.8203,United States,90945
Manteca,37.7927,-121.2264,United States,90678
Westminster,33.7523,-117.9938,United States,90638
Florence,34.178,-79.7898,United States,90419
Joplin,37.0757,-94.5018,United States,90384
Germantown,39.1755,-77.2643,United States,90210
San Leandro,37.7074,-122.1599,United States,89723
Cheektowaga,42.9082,-78.7466,United States,89474
Town 'n' Country,28.0106,-82.5763,United States,89456
Clifton,40.863,-74.1575,United States,89451
Waukegan,42.3698,-87.8716,United States,89435
Bloomington,44.8306,-93.3151,United States,89244
Avondale,33.3873,-112.3235,United States,89214
Atascocita,29.9777,-95.1953,United States,89121
Missoula,46.8751,-114.0214,United States,88780
Fort Myers,26.6194,-81.8302,United States,88699
Newton,42.3316,-71.2085,United States,88453
Lawrence,42.7002,-71.1626,United States,88067
Muncie,40.1989,-85.395,United States,88061
Rapid City,44.0716,-103.2204,United States,87826
Troy,42.5817,-83.1457,United States,87170
Livermore,37.6868,-121.7607,United States,87154
Citrus Heights,38.6948,-121.288,United States,87127
Hawthorne,33.9147,-118.3476,United States,86978
Winchester,39.1735,-78.1746,United States,86813
Springdale,36.1901,-94.1574,United States,86705
Clarkstown,41.1319,-73.966,United States,86570
Whittier,33.9678,-118.0188,United States,86459
Deerfield Beach,26.305,-80.1277,United States,86455
Decatur,39.8557,-88.9342,United States,86231
San Ramon,37.7624,-121.9365,United States,86119
Vineland,39.4653,-74.9981,United States,86042
Mission,26.2039,-98.3256,United States,85755
Auburn,47.3039,-122.2108,United States,85623
Lake Forest,33.6605,-117.6714,United States,85583
Colonie,42.7396,-73.7874,United States,85406
Upper Darby,39.949,-75.2891,United States,85217
Newport Beach,33.6151,-117.8668,United States,85159
Melbourne,28.1086,-80.6627,United States,84982
Brooklyn Park,45.1112,-93.3505,United States,84951
Bryan,30.665,-96.3807,United States,84820
Westland,42.3192,-83.3805,United States,84806
Napa,38.2975,-122.301,United States,84703
Baytown,29.7587,-94.9671,United States,84449
Cicero,41.8445,-87.7593,United States,84189
Anderson,40.0891,-85.6892,United States,83875
Franklin,35.92,-86.8516,United States,83630
Farmington Hills,42.486,-83.3771,United States,83562
Buena Park,33.8572,-118.0046,United States,83542
Albany,31.5776,-84.1762,United States,83447
Pine Hills,28.5818,-81.4692,United States,83221
State College,40.7909,-77.8567,United States,83170
Redwood City,37.5025,-122.2253,United States,83077
Warwick,41.7062,-71.4334,United States,82783
Jackson,42.2431,-84.4038,United States,82775
